vi	V(N005,N002)	I(Rd)
2.252999999999950e+00	-8.612463e-01	9.428767e-03
2.253999999999950e+00	-8.301578e-01	9.579211e-03
2.254999999999950e+00	-7.986436e-01	9.731781e-03
2.255999999999950e+00	-7.666996e-01	9.886502e-03
2.256999999999950e+00	-7.343204e-01	1.004340e-02
2.257999999999950e+00	-7.015011e-01	1.020249e-02
2.258999999999950e+00	-6.682367e-01	1.036382e-02
2.259999999999950e+00	-6.345229e-01	1.052739e-02
2.260999999999949e+00	-6.003540e-01	1.069323e-02
2.261999999999949e+00	-5.657248e-01	1.086138e-02
2.262999999999949e+00	-5.306311e-01	1.103184e-02
2.263999999999949e+00	-4.950671e-01	1.120466e-02
2.264999999999949e+00	-4.590278e-01	1.137986e-02
2.265999999999949e+00	-4.225082e-01	1.155746e-02
2.266999999999949e+00	-3.855031e-01	1.173748e-02
2.267999999999949e+00	-3.480072e-01	1.191996e-02
2.268999999999949e+00	-3.100152e-01	1.210492e-02
2.269999999999949e+00	-2.715220e-01	1.229239e-02
2.270999999999948e+00	-2.325225e-01	1.248239e-02
2.271999999999948e+00	-1.930106e-01	1.267495e-02
2.272999999999948e+00	-1.529815e-01	1.287009e-02
2.273999999999948e+00	-1.124301e-01	1.306785e-02
2.274999999999948e+00	-7.135010e-02	1.326825e-02
2.275999999999948e+00	-2.973700e-02	1.347131e-02
2.276999999999948e+00	1.241517e-02	1.367708e-02
2.277999999999948e+00	5.511212e-02	1.388556e-02
2.278999999999948e+00	9.835863e-02	1.409679e-02
2.279999999999947e+00	1.421609e-01	1.431080e-02
2.280999999999947e+00	1.865242e-01	1.452762e-02
2.281999999999947e+00	2.314544e-01	1.474727e-02
2.282999999999947e+00	2.769568e-01	1.496978e-02
2.283999999999947e+00	3.230371e-01	1.519519e-02
2.284999999999947e+00	3.697014e-01	1.542351e-02
2.285999999999947e+00	4.169546e-01	1.565477e-02
2.286999999999947e+00	4.648031e-01	1.588902e-02
2.287999999999947e+00	5.132525e-01	1.612626e-02
2.288999999999946e+00	5.623083e-01	1.636654e-02
2.289999999999946e+00	6.119764e-01	1.660988e-02
2.290999999999946e+00	6.622627e-01	1.685631e-02
2.291999999999946e+00	7.131732e-01	1.710587e-02
2.292999999999946e+00	7.647132e-01	1.735857e-02
2.293999999999946e+00	8.168889e-01	1.761444e-02
2.294999999999946e+00	8.697065e-01	1.787353e-02
