vi	V(n002)	I(Rd)
2.285999999999947e+00	1.869045e+00	1.565477e-02
2.286999999999947e+00	1.822197e+00	1.588902e-02
2.287999999999947e+00	1.774748e+00	1.612626e-02
2.288999999999946e+00	1.726692e+00	1.636654e-02
2.289999999999946e+00	1.678024e+00	1.660988e-02
2.290999999999946e+00	1.628737e+00	1.685631e-02
2.291999999999946e+00	1.578827e+00	1.710587e-02
2.292999999999946e+00	1.528287e+00	1.735857e-02
2.293999999999946e+00	1.477111e+00	1.761444e-02
2.294999999999946e+00	1.425294e+00	1.787353e-02
2.295999999999946e+00	1.372829e+00	1.813586e-02
2.296999999999946e+00	1.319710e+00	1.840145e-02
2.297999999999945e+00	1.265933e+00	1.867034e-02
2.298999999999945e+00	1.211490e+00	1.894255e-02
2.299999999999945e+00	1.156376e+00	1.921812e-02
2.300999999999945e+00	1.100585e+00	1.949708e-02
2.301999999999945e+00	1.044110e+00	1.977945e-02
2.302999999999945e+00	9.869459e-01	2.006527e-02
2.303999999999945e+00	9.290866e-01	2.035457e-02
2.304999999999945e+00	8.705259e-01	2.064737e-02
2.305999999999945e+00	8.112577e-01	2.094371e-02
2.306999999999944e+00	7.512761e-01	2.124362e-02
2.307999999999944e+00	6.905748e-01	2.154713e-02
2.308999999999944e+00	6.291478e-01	2.185426e-02
2.309999999999944e+00	5.669889e-01	2.216506e-02
2.310999999999944e+00	5.040920e-01	2.247954e-02
2.311999999999944e+00	4.404511e-01	2.279774e-02
2.312999999999944e+00	3.760598e-01	2.311970e-02
